PYY-439,Toyota,Highlander,2002,Crimson,,6,10,4,7,13,23,10
PYY-440,Land Rover,Freelander,2005,Yellow,,10,10,4,6,,,
PYY-441,Subaru,Forester,2011,Turquoise,,6,8,4,9,,,
PYY-442,Porsche,911,2005,Crimson,,7,3,4,7,,,
PYY-443,Maybach,62,2009,Blue,,7,2,4,4,,,
PYY-444,Maserati,Gran Sport,2005,Teal,,8,10,4,4,,,
PYY-445,Ferrari,612 Scaglietti,2009,Blue,,7,14,4,4,,,
PYY-446,Ford,Crown Victoria,2009,Green,,4,14,4,5,,,
PYY-447,GMC,Sonoma,1996,Yellow,,3,6,4,6,,,
PYY-448,Plymouth,Horizon,1978,Blue,,8,7,4,4,,,
PYY-449,Kia,Amanti,2009,Aquamarine,,3,6,4,10,,,
PYY-450,Hyundai,Genesis,2012,Goldenrod,,7,7,4,9,,,
PYY-451,Chevrolet,Express,2009,Fuscia,,9,7,4,6,,,
PYY-452,Mazda,B-Series Plus,1996,Green,,5,13,4,5,,,
PYY-453,Hyundai,Elantra,2003,Turquoise,,7,7,4,9,,,
PYY-454,Mazda,Millenia,2000,Goldenrod,,5,8,4,9,,,
PYY-455,GMC,Yukon XL 1500,2012,Crimson,,3,13,4,7,,,
PYY-456,Geo,Metro,1992,Yellow,,3,5,4,6,,,
PYY-457,Volvo,V70,1999,Orange,,5,3,4,6,,,
PYY-458,Chrysler,Concorde,1998,Aquamarine,,8,8,4,10,,,
PYY-459,Isuzu,i-280,2006,Mauv,,5,5,4,4,,,
PYY-460,Saturn,Aura,2007,Blue,,6,4,4,4,,,
PYY-461,Cadillac,STS-V,2006,Aquamarine,,8,5,4,10,,,
PYY-462,Pontiac,Sunbird,1994,Red,,7,7,4,3,,,
PYY-463,Mitsubishi,Challenger,1997,Khaki,,10,10,4,5,,,
PYY-464,Nissan,Quest,1998,Yellow,,6,5,4,6,,,
PYY-465,Volkswagen,Touareg 2,2008,Green,,10,9,4,5,,,
PYY-466,Lexus,LX,2009,Indigo,,5,2,4,6,,,
PYY-467,Volvo,S80,2010,Violet,,5,3,4,6,,,
PYY-468,Nissan,Versa,2011,Mauv,,6,5,4,4,,,
PYY-469,Acura,TL,1996,Turquoise,,5,2,4,9,,,
PYY-470,Mitsubishi,Outlander,2007,Violet,,10,9,4,6,,,
PYY-471,Mercedes-Benz,M-Class,2007,Puce,,13,7,4,4,,,
PYY-472,GMC,Sonoma,1999,Orange,,3,6,4,6,,,
PYY-473,Cadillac,SRX,2011,Orange,,8,3,4,6,,,
PYY-474,Dodge,Viper,2005,Pink,,5,5,4,4,,,
PYY-475,Lamborghini,Diablo,1998,Turquoise,,11,6,4,9,,,
PYY-476,Volkswagen,Corrado,1993,Orange,,10,7,4,6,,,
