s01_001,Student,occupied,0
s01_002,Student,vacant,0
s01_003,Student,occupied,0
s01_004,Student,vacant,0
s01_005,Student,vacant,0
s01_006,Student,occupied,0
s01_007,Student,vacant,0
s01_008,Student,vacant,0
s01_009,Student,occupied,0
s01_010,Student,vacant,0
s01_011,Student,occupied,0
s01_012,Student,vacant,0
s01_013,Student,vacant,0
s01_014,Student,vacant,0
s01_015,Student,vacant,0
s01_016,Student,occupied,0
s01_017,Student,occupied,0
s01_018,Student,vacant,0
s01_019,Student,vacant,0
s01_020,Student,occupied,0
s01_021,Student,vacant,0
s01_022,Student,occupied,0
s01_023,Student,occupied,0
s01_024,Student,vacant,0
s01_025,Student,occupied,0
s01_026,Student,vacant,0
s01_027,Student,occupied,0
s01_028,Student,vacant,0
s01_029,Student,vacant,0
s01_030,Student,vacant,0
s01_031,Student,vacant,0
s01_032,Student,occupied,0
s01_033,Student,occupied,0
s01_034,Student,vacant,0
s01_035,Student,vacant,0
s01_036,Student,occupied,0
s01_037,Student,vacant,0
s01_038,Student,vacant,0
s01_039,Student,vacant,0
s01_040,Student,occupied,0
s01_041,Student,vacant,0
s01_042,Student,occupied,0
s01_043,Student,occupied,0
s01_044,Student,vacant,0
s01_045,Student,occupied,0
s01_046,Student,vacant,0
s01_047,Student,vacant,0
s01_048,Student,occupied,0
s01_049,Student,vacant,0
s01_050,Student,occupied,0
s01_051,Student,occupied,0
s01_052,Student,vacant,0
s01_053,Student,occupied,0
s01_054,Student,vacant,0
s01_055,Student,occupied,0
s01_056,Student,vacant,0
s01_057,Student,vacant,0
s01_058,Student,vacant,0
s01_059,Student,vacant,0
s01_060,Student,occupied,0
s01_061,Student,occupied,0
s01_062,Student,vacant,0
s01_063,Student,vacant,0
s01_064,Student,occupied,0
s01_065,Student,occupied,0
s01_066,Student,vacant,0
s01_067,Student,vacant,0
s01_068,Student,occupied,0
s01_069,Student,vacant,0
s01_070,Student,vacant,0
s01_071,Student,vacant,0
s01_072,Student,occupied,0
s01_073,Student,vacant,0
s01_074,Student,occupied,0
s01_075,Student,occupied,0
